Jurisdiction,Cause,Year,Number 
British Columbia,Unspecified,2021,1635
British Columbia,Unspecified,2020,36
British Columbia,Prescribed burn,2020,2
British Columbia,Lightning,2020,277
British Columbia,Human activity,2020,369
British Columbia,Unspecified,2019,101
British Columbia,Prescribed burn,2019,2
British Columbia,Lightning,2019,380
British Columbia,Human activity,2019,360
British Columbia,Unspecified,2018,22
British Columbia,Prescribed burn,2018,2
British Columbia,Lightning,2018,1557
British Columbia,Human activity,2018,542
British Columbia,Unspecified,2017,4
British Columbia,Prescribed burn,2017,1
British Columbia,Lightning,2017,821
British Columbia,Human activity,2017,574
British Columbia,Prescribed burn,2016,2
British Columbia,Lightning,2016,489
British Columbia,Human activity,2016,584
British Columbia,Prescribed burn,2015,1
British Columbia,Lightning,2015,1245
British Columbia,Human activity,2015,625
British Columbia,Unspecified,2014,2
British Columbia,Prescribed burn,2014,1
British Columbia,Lightning,2014,820
British Columbia,Human activity,2014,655
British Columbia,Unspecified,2013,1
British Columbia,Lightning,2013,1306
British Columbia,Human activity,2013,572
British Columbia,Lightning,2012,954
British Columbia,Human activity,2012,705
British Columbia,Unspecified,2011,1
British Columbia,Prescribed burn,2011,3
British Columbia,Lightning,2011,210
British Columbia,Human activity,2011,470
British Columbia,Unspecified,2010,1
British Columbia,Prescribed burn,2010,1
British Columbia,Lightning,2010,1000
British Columbia,Human activity,2010,729
British Columbia,Prescribed burn,2009,1
British Columbia,Lightning,2009,2196
British Columbia,Human activity,2009,904
British Columbia,Unspecified,2008,2
British Columbia,Prescribed burn,2008,2
British Columbia,Lightning,2008,1185
British Columbia,Human activity,2008,869
British Columbia,Unspecified,2007,1
British Columbia,Lightning,2007,922
British Columbia,Human activity,2007,718
British Columbia,Lightning,2006,1550
British Columbia,Human activity,2006,1037
British Columbia,Lightning,2005,390
British Columbia,Human activity,2005,616
British Columbia,Unspecified,2004,1
British Columbia,Lightning,2004,1721
British Columbia,Human activity,2004,696
British Columbia,Lightning,2003,1545
British Columbia,Human activity,2003,945
British Columbia,Unspecified,2002,2
British Columbia,Lightning,2002,884
British Columbia,Human activity,2002,909
British Columbia,Lightning,2001,489
British Columbia,Human activity,2001,831
British Columbia,Lightning,2000,864
British Columbia,Human activity,2000,687
British Columbia,Lightning,1999,601
British Columbia,Human activity,1999,597
British Columbia,Lightning,1998,1752
British Columbia,Human activity,1998,911
British Columbia,Lightning,1997,687
British Columbia,Human activity,1997,489
British Columbia,Lightning,1996,727
British Columbia,Human activity,1996,633
British Columbia,Lightning,1995,344
British Columbia,Human activity,1995,1130
British Columbia,Lightning,1994,2888
British Columbia,Human activity,1994,1169
British Columbia,Lightning,1993,611
British Columbia,Human activity,1993,886
British Columbia,Lightning,1992,2344
British Columbia,Human activity,1992,1461
British Columbia,Lightning,1991,761
British Columbia,Human activity,1991,1253
British Columbia,Lightning,1990,2015
British Columbia,Human activity,1990,1240
