Jurisdiction,Month,Year,Number
Alberta,January,1990,1
Alberta,October,1990,34
Alberta,November,1990,16
Alberta,December,1990,4
Alberta,February,1990,5
Alberta,March,1990,8
Alberta,April,1990,26
Alberta,May,1990,114
Alberta,June,1990,214
Alberta,July,1990,446
Alberta,August,1990,381
Alberta,September,1990,117
British Columbia,October,1990,60
British Columbia,November,1990,6
British Columbia,February,1990,3
British Columbia,March,1990,35
British Columbia,April,1990,147
British Columbia,May,1990,235
British Columbia,June,1990,95
British Columbia,July,1990,775
British Columbia,August,1990,1563
British Columbia,September,1990,336
Manitoba,October,1990,36
Manitoba,November,1990,13
Manitoba,December,1990,1
Manitoba,April,1990,39
Manitoba,May,1990,71
Manitoba,June,1990,85
Manitoba,July,1990,90
Manitoba,August,1990,176
Manitoba,September,1990,51
New Brunswick,October,1990,4
New Brunswick,March,1990,1
New Brunswick,April,1990,42
New Brunswick,May,1990,71
New Brunswick,June,1990,100
New Brunswick,July,1990,114
New Brunswick,August,1990,32
New Brunswick,September,1990,13
Newfoundland and Labrador,October,1990,3
Newfoundland and Labrador,March,1990,2
Newfoundland and Labrador,April,1990,5
Newfoundland and Labrador,May,1990,19
Newfoundland and Labrador,June,1990,36
Newfoundland and Labrador,July,1990,29
Newfoundland and Labrador,August,1990,30
Newfoundland and Labrador,September,1990,41
Nova Scotia,October,1990,9
Nova Scotia,November,1990,1
Nova Scotia,March,1990,34
Nova Scotia,April,1990,89
Nova Scotia,May,1990,134
Nova Scotia,June,1990,58
Nova Scotia,July,1990,74
Nova Scotia,August,1990,62
Nova Scotia,September,1990,36
Northwest Territories,May,1990,10
Northwest Territories,June,1990,98
Northwest Territories,July,1990,113
Northwest Territories,August,1990,13
Northwest Territories,September,1990,2
Ontario,October,1990,31
Ontario,November,1990,16
Ontario,March,1990,62
Ontario,April,1990,185
Ontario,May,1990,242
Ontario,June,1990,111
Ontario,July,1990,237
Ontario,August,1990,543
Ontario,September,1990,185
Prince Edward Island,April,1990,7
Prince Edward Island,August,1990,1
Prince Edward Island,December,1990,0
Prince Edward Island,February,1990,0
Prince Edward Island,January,1990,0
Prince Edward Island,July,1990,6
Prince Edward Island,June,1990,8
Prince Edward Island,March,1990,0
Prince Edward Island,May,1990,13
Prince Edward Island,November,1990,2
Prince Edward Island,October,1990,0
Prince Edward Island,September,1990,1
Prince Edward Island,Unspecified,1990,0
Quebec,October,1990,4
Quebec,March,1990,1
Quebec,April,1990,59
Quebec,May,1990,214
Quebec,June,1990,139
Quebec,July,1990,178
Quebec,August,1990,138
Quebec,September,1990,118
Saskatchewan,October,1990,10
Saskatchewan,March,1990,2
Saskatchewan,April,1990,18
Saskatchewan,May,1990,103
Saskatchewan,June,1990,275
Saskatchewan,July,1990,130
Saskatchewan,August,1990,314
Saskatchewan,September,1990,45
Yukon,October,1990,2
Yukon,April,1990,3
Yukon,May,1990,15
Yukon,June,1990,19
Yukon,July,1990,69
Yukon,August,1990,32
Yukon,September,1990,14
Alberta,January,1991,9
Alberta,October,1991,66
Alberta,November,1991,6
Alberta,December,1991,7
Alberta,February,1991,4
Alberta,March,1991,8
Alberta,April,1991,111
Alberta,May,1991,201
Alberta,June,1991,114
Alberta,July,1991,125
Alberta,August,1991,239
Alberta,September,1991,54
British Columbia,January,1991,2
British Columbia,October,1991,248
British Columbia,November,1991,5
British Columbia,February,1991,5
British Columbia,March,1991,25
British Columbia,April,1991,204
British Columbia,May,1991,193
British Columbia,June,1991,291
British Columbia,July,1991,296
British Columbia,August,1991,573
British Columbia,September,1991,172
Manitoba,January,1991,5
Manitoba,October,1991,6
Manitoba,February,1991,3
Manitoba,March,1991,12
Manitoba,April,1991,109
Manitoba,May,1991,75
Manitoba,June,1991,77
Manitoba,July,1991,142
Manitoba,August,1991,222
Manitoba,September,1991,21
New Brunswick,October,1991,7
New Brunswick,November,1991,1
New Brunswick,April,1991,91
New Brunswick,May,1991,154
New Brunswick,June,1991,150
New Brunswick,July,1991,141
New Brunswick,August,1991,92
New Brunswick,September,1991,20
Newfoundland and Labrador,April,1991,4
Newfoundland and Labrador,May,1991,29
Newfoundland and Labrador,June,1991,38
Newfoundland and Labrador,July,1991,12
Newfoundland and Labrador,August,1991,32
Nova Scotia,October,1991,1
Nova Scotia,March,1991,26
Nova Scotia,April,1991,208
Nova Scotia,May,1991,174
Nova Scotia,June,1991,145
Nova Scotia,July,1991,162
Nova Scotia,August,1991,10
Northwest Territories,May,1991,5
Northwest Territories,June,1991,59
Northwest Territories,July,1991,149
Northwest Territories,August,1991,117
Northwest Territories,September,1991,1
Ontario,October,1991,11
Ontario,November,1991,12
Ontario,December,1991,1
Ontario,March,1991,12
Ontario,April,1991,210
Ontario,May,1991,231
Ontario,June,1991,415
Ontario,July,1991,586
Ontario,August,1991,944
Ontario,September,1991,138
Prince Edward Island,April,1991,17
Prince Edward Island,August,1991,2
Prince Edward Island,December,1991,0
Prince Edward Island,February,1991,0
Prince Edward Island,January,1991,0
Prince Edward Island,July,1991,3
Prince Edward Island,June,1991,8
Prince Edward Island,March,1991,2
Prince Edward Island,May,1991,16
Prince Edward Island,November,1991,0
Prince Edward Island,October,1991,0
Prince Edward Island,September,1991,0
Prince Edward Island,Unspecified,1991,0
Quebec,October,1991,6
Quebec,November,1991,5
Quebec,March,1991,1
Quebec,April,1991,64
Quebec,May,1991,220
Quebec,June,1991,408
Quebec,July,1991,318
Quebec,August,1991,162
Quebec,September,1991,32
Saskatchewan,January,1991,2
Saskatchewan,October,1991,31
Saskatchewan,November,1991,14
Saskatchewan,December,1991,2
Saskatchewan,March,1991,1
Saskatchewan,April,1991,79
Saskatchewan,May,1991,127
Saskatchewan,June,1991,75
Saskatchewan,July,1991,111
Saskatchewan,August,1991,272
Saskatchewan,September,1991,48
Yukon,April,1991,8
Yukon,May,1991,28
Yukon,June,1991,109
Yukon,July,1991,33
Yukon,August,1991,9
Alberta,January,1992,14
Alberta,October,1992,29
Alberta,November,1992,15
Alberta,December,1992,4
Alberta,February,1992,11
Alberta,March,1992,61
Alberta,April,1992,110
Alberta,May,1992,91
Alberta,June,1992,147
Alberta,July,1992,226
Alberta,August,1992,339
Alberta,September,1992,14
British Columbia,January,1992,6
British Columbia,October,1992,126
British Columbia,November,1992,4
British Columbia,December,1992,1
British Columbia,February,1992,2
British Columbia,March,1992,70
British Columbia,April,1992,155
British Columbia,May,1992,243
British Columbia,June,1992,705
British Columbia,July,1992,493
British Columbia,August,1992,1803
British Columbia,September,1992,197
Manitoba,October,1992,4
Manitoba,February,1992,1
Manitoba,March,1992,1
Manitoba,April,1992,7
Manitoba,May,1992,76
Manitoba,June,1992,45
Manitoba,July,1992,57
Manitoba,August,1992,102
Manitoba,September,1992,5
New Brunswick,October,1992,14
New Brunswick,April,1992,50
New Brunswick,May,1992,345
New Brunswick,June,1992,78
New Brunswick,July,1992,24
New Brunswick,August,1992,42
New Brunswick,September,1992,23
Newfoundland and Labrador,April,1992,2
Newfoundland and Labrador,May,1992,47
Newfoundland and Labrador,June,1992,15
Newfoundland and Labrador,July,1992,13
Newfoundland and Labrador,August,1992,26
Newfoundland and Labrador,September,1992,3
Nova Scotia,October,1992,13
Nova Scotia,April,1992,43
Nova Scotia,May,1992,138
