Jurisdiction,Fire size class,Year,Number null
Alberta,Unspecified,2021,1342
Alberta,1000.1 - 10 000 ha,2020,2
Alberta,100.1 - 1 000 ha,2020,3
Alberta,10.1 - 100 ha,2020,14
Alberta,1.1 - 10 ha,2020,38
Alberta,0.11 - 1.0 ha,2020,110
Alberta,Up to 0.1 ha,2020,633
Alberta,Over 100 000 ha,2019,2
Alberta,1000.1 - 10 000 ha,2019,15
Alberta,10 000.1 - 100 000 ha,2019,7
Alberta,100.1 - 1 000 ha,2019,29
Alberta,10.1 - 100 ha,2019,42
Alberta,1.1 - 10 ha,2019,103
Alberta,0.11 - 1.0 ha,2019,212
Alberta,Up to 0.1 ha,2019,671
Alberta,1000.1 - 10 000 ha,2018,18
Alberta,10 000.1 - 100 000 ha,2018,1
Alberta,100.1 - 1 000 ha,2018,16
Alberta,10.1 - 100 ha,2018,56
Alberta,1.1 - 10 ha,2018,122
Alberta,0.11 - 1.0 ha,2018,284
Alberta,Up to 0.1 ha,2018,885
Alberta,1000.1 - 10 000 ha,2017,9
Alberta,10 000.1 - 100 000 ha,2017,6
Alberta,100.1 - 1 000 ha,2017,23
Alberta,10.1 - 100 ha,2017,48
Alberta,1.1 - 10 ha,2017,83
Alberta,0.11 - 1.0 ha,2017,257
Alberta,Up to 0.1 ha,2017,904
Alberta,Over 100 000 ha,2016,1
Alberta,1000.1 - 10 000 ha,2016,3
Alberta,10 000.1 - 100 000 ha,2016,1
Alberta,100.1 - 1 000 ha,2016,16
Alberta,10.1 - 100 ha,2016,50
Alberta,1.1 - 10 ha,2016,133
Alberta,0.11 - 1.0 ha,2016,329
Alberta,Up to 0.1 ha,2016,952
Alberta,Over 100 000 ha,2015,1
Alberta,1000.1 - 10 000 ha,2015,31
Alberta,10 000.1 - 100 000 ha,2015,23
Alberta,100.1 - 1 000 ha,2015,55
Alberta,10.1 - 100 ha,2015,85
Alberta,1.1 - 10 ha,2015,188
Alberta,0.11 - 1.0 ha,2015,426
Alberta,Up to 0.1 ha,2015,1143
Alberta,1000.1 - 10 000 ha,2014,9
Alberta,10 000.1 - 100 000 ha,2014,6
Alberta,100.1 - 1 000 ha,2014,9
Alberta,10.1 - 100 ha,2014,49
Alberta,1.1 - 10 ha,2014,131
Alberta,0.11 - 1.0 ha,2014,290
Alberta,Up to 0.1 ha,2014,1012
Alberta,1000.1 - 10 000 ha,2013,9
Alberta,10 000.1 - 100 000 ha,2013,1
Alberta,100.1 - 1 000 ha,2013,15
Alberta,10.1 - 100 ha,2013,52
Alberta,1.1 - 10 ha,2013,95
Alberta,0.11 - 1.0 ha,2013,192
Alberta,Up to 0.1 ha,2013,915
Alberta,Over 100 000 ha,2012,2
Alberta,1000.1 - 10 000 ha,2012,25
Alberta,10 000.1 - 100 000 ha,2012,12
Alberta,100.1 - 1 000 ha,2012,20
Alberta,10.1 - 100 ha,2012,41
Alberta,1.1 - 10 ha,2012,114
